Index,Angle,Porosity,Surface_Area,Permeability_X
553,340,54.92858887,2521,19.235998
554,350,55.09033203,2481,19.923626
555,360,53.89709473,2546,20.346264
556,0,60.86273193,6377,3.5969737
557,10,60.17456055,6595,3.2480774
558,20,60.21728516,6694,3.0990443
559,30,60.09521484,6537,3.0995495
560,40,60.40802002,6288,3.3071613
561,50,60.91156006,6245,3.3324056
562,60,60.95581055,6478,3.2102919
563,70,60.35766602,6685,3.1054294
564,80,61.46087646,6415,3.3370116
565,90,60.86883545,6361,3.9387717
566,100,60.20355225,6580,3.7508583
567,110,60.17913818,6695,3.719313
568,120,60.10437012,6535,3.7272108
569,130,60.40496826,6284,3.6531909
570,140,60.94207764,6242,3.8008027
571,150,60.94818115,6481,3.6418056
572,160,60.4385376,6670,3.488555
573,170,61.4944458,6434,3.4759974
574,180,60.87341309,6336,3.6164467
575,190,60.23712158,6597,3.2479453
576,200,60.21575928,6691,3.0456407
577,210,60.09979248,6549,3.0245523
578,220,60.43548584,6275,3.238437
579,230,60.97412109,6227,3.2464688
580,240,60.91156006,6499,3.124714
581,250,60.41412354,6675,3.0757751
582,260,61.51733398,6401,3.3735964
583,270,60.86730957,6350,3.9230945
584,280,60.20507813,6610,3.74285
585,290,60.25695801,6688,3.6793258
586,300,60.09063721,6551,3.666414
587,310,60.43701172,6278,3.6125476
588,320,60.94818115,6229,3.7900496
589,330,60.91918945,6496,3.618893
590,340,60.33477783,6690,3.4684386
591,350,61.47918701,6382,3.4559436
592,360,60.86273193,6377,3.5969737
593,0,66.88690186,5324,6.054184
594,10,67.16003418,5432,6.104449
595,20,67.33856201,5466,6.259684
596,30,67.11120605,5353,6.7550006
597,40,67.60559082,5106,6.975401
598,50,67.7230835,5098,7.0737586
599,60,67.29431152,5348,7.180714
600,70,66.80908203,5442,6.990566
601,80,67.19055176,5312,7.160665
602,90,66.86096191,5326,7.3882704
603,100,67.21954346,5407,6.9726663
604,110,67.34008789,5453,6.60079
605,120,67.15393066,5344,6.339252
606,130,67.63305664,5097,6.0741415
607,140,67.77801514,5105,5.7875886
608,150,67.32025146,5348,5.735848
609,160,66.89453125,5423,5.7314353
610,170,67.25006104,5316,5.655372
611,180,66.85638428,5324,6.131749
612,190,67.17529297,5451,6.1258006
613,200,67.40875244,5444,6.238893
614,210,67.17071533,5342,6.749105
615,220,67.63000488,5097,7.006769
616,230,67.74597168,5100,6.9813886
617,240,67.29125977,5363,7.1240945
618,250,66.83197021,5425,6.886503
619,260,67.18902588,5306,7.043345
620,270,66.88232422,5320,7.3617196
621,280,67.12036133,5474,6.9054327
622,290,67.41027832,5457,6.5925164
623,300,67.12799072,5351,6.358267
624,310,67.60406494,5105,6.0350623
625,320,67.69561768,5092,5.7713466
626,330,67.26379395,5363,5.702001
627,340,66.746521,5445,5.694583
628,350,67.12341309,5301,5.5886393
629,360,66.88690186,5324,6.054184
630,0,73.10791016,4294,11.862444
631,10,72.78594971,4540,11.2978
632,20,72.61505127,4583,11.225062
633,30,72.85003662,4388,11.787847
634,40,73.06976318,4308,11.934957
635,50,73.55957031,4258,12.241366
636,60,72.82409668,4453,11.788839
637,70,72.57080078,4478,11.546457
638,80,73.17504883,4389,12.21406
639,90,73.097229,4298,12.57045
640,100,72.80273438,4523,11.436452
641,110,72.56469727,4586,11.086565
642,120,72.86224365,4376,10.757251
643,130,73.1338501,4289,10.062026
644,140,73.66485596,4256,10.207848
645,150,72.79205322,4461,10.367935
646,160,72.64251709,4475,10.655751
647,170,73.21777344,4370,10.988582
648,180,73.08044434,4302,11.854592
649,190,72.79205322,4533,11.255019
650,200,72.61047363,4579,11.165059
651,210,72.84851074,4378,11.784409
